Code,City,County,Zip Code Map,Complete,,,
98621,Grays River,Wahkiakum,View Map,,,,
98643,Rosburg,Wahkiakum,View Map,,,,
98647,Skamokawa,Wahkiakum,View Map,,,,
99323,Burbank,Walla Walla,View Map,,,,
99324,College Place,Walla Walla,View Map,,,,
99329,Dixie,Walla Walla,View Map,,,,
99348,Prescott,Walla Walla,View Map,,,,
99360,Touchet,Walla Walla,View Map,,,,
99361,Waitsburg,Walla Walla,View Map,,,,
99362,Walla Walla,Walla Walla,View Map,,,,
99363,Wallula,Walla Walla,View Map,,,,
98220,Acme,Whatcom,View Map,,,,
98225,Bellingham,Whatcom,View Map,,,,
98226,Bellingham,Whatcom,View Map,,,,
98227,Bellingham,Whatcom,View Map,,,,
98228,Bellingham,Whatcom,View Map,,,,
98229,Bellingham,Whatcom,View Map,,,,
98230,Blaine,Whatcom,View Map,,,,
98231,Blaine,Whatcom,View Map,,,,
98240,Custer,Whatcom,View Map,,,,
98244,Deming,Whatcom,View Map,,,,
98247,Everson,Whatcom,View Map,,,,
98248,Ferndale,Whatcom,View Map,,,,
98262,Lummi Island,Whatcom,View Map,,,,
98264,Lynden,Whatcom,View Map,,,,
98266,Maple Falls,Whatcom,View Map,,,,
98276,Nooksack,Whatcom,View Map,,,,
98281,Point Roberts,Whatcom,View Map,,,,
98295,Sumas,Whatcom,View Map,,,,
99102,Albion,Whitman,View Map,,,,
99104,Belmont,Whitman,View Map,,,,
99111,Colfax,Whitman,View Map,,,,
99113,Colton,Whitman,View Map,,,,
99125,Endicott,Whitman,View Map,,,,
99128,Farmington,Whitman,View Map,,,,
99130,Garfield,Whitman,View Map,,,,
99136,Hay,Whitman,View Map,,,,
99333,Hooper,Whitman,View Map,,,,
99143,Lacrosse,Whitman,View Map,,,,
99017,Lamont,Whitman,View Map,,,,
99149,Malden,Whitman,View Map,,,,
99158,Oakesdale,Whitman,View Map,,,,
99161,Palouse,Whitman,View Map,,,,
99163,Pullman,Whitman,View Map,,,,
99164,Pullman,Whitman,View Map,,,,
99165,Pullman,Whitman,View Map,,,,
99170,Rosalia,Whitman,View Map,,,,
99171,Saint John,Whitman,View Map,,,,
99174,Steptoe,Whitman,View Map,,,,
99033,Tekoa,Whitman,View Map,,,,
99176,Thornton,Whitman,View Map,,,,
99179,Uniontown,Whitman,View Map,,,,
98920,Brownstown,Yakima,View Map,,,,
98921,Buena,Yakima,View Map,,,,
98923,Cowiche,Yakima,View Map,,,,
98929,Goose Prairie,Yakima,View Map,,,,
98930,Grandview,Yakima,View Map,,,,
98932,Granger,Yakima,View Map,,,,
98933,Harrah,Yakima,View Map,,,,
98935,Mabton,Yakima,View Map,,,,
98936,Moxee,Yakima,View Map,,,,
98937,Naches,Yakima,View Map,,,,
98938,Outlook,Yakima,View Map,,,,
98939,Parker,Yakima,View Map,,,,
98942,Selah,Yakima,View Map,,,,
98944,Sunnyside,Yakima,View Map,,,,
98947,Tieton,Yakima,View Map,,,,
98948,Toppenish,Yakima,View Map,,,,
98951,Wapato,Yakima,View Map,,,,
98952,White Swan,Yakima,View Map,,,,
98901,Yakima,Yakima,View Map,,,,
98902,Yakima,Yakima,View Map,,,,
98903,Yakima,Yakima,View Map,,,,
98904,Yakima,Yakima,View Map,,,,
98907,Yakima,Yakima,View Map,,,,
98908,Yakima,Yakima,View Map,,,,
98909,Yakima,Yakima,View Map,,,,
98953,Zillah,Yakima,View Map,,,,
732,493,39,,51,,,
